# Approximate mean reflectance spectral library for major agricultural crops.
# Sources:
#   Aneece & Thenkabail (2018, 2021, 2024) — GHISACONUS / DESIS / PRISMA
#   Raza et al. (2026) — CROPSPECPK
#   Basener (2022) — GHISACONUS Hyperion
#
# Wavelengths are Hyperion band centres (nm); reflectance in fraction [0,1].
# This is an APPROXIMATE reference library for demonstration.
# Replace or augment with calibrated field measurements or the full
# GHISACONUS library (https://www.usgs.gov/programs/national-land-imaging-program/
#   global-hyperspectral-imaging-spectral-library-agricultural).
#
# Format: name, source, class_id, then wl_NNN columns (NNN = wavelength nm)
name,source,class_id,wl_447,wl_457,wl_467,wl_477,wl_508,wl_518,wl_528,wl_548,wl_559,wl_569,wl_599,wl_630,wl_650,wl_660,wl_681,wl_691,wl_701,wl_711,wl_722,wl_732,wl_752,wl_773,wl_803,wl_834,wl_854,wl_904,wl_955,wl_1003,wl_1053,wl_1103,wl_1154,wl_1204,wl_1245,wl_1295,wl_1346,wl_1396,wl_1447,wl_1497,wl_1558,wl_1619,wl_1649,wl_1689,wl_1740,wl_1790,wl_1861,wl_2002,wl_2052,wl_2103,wl_2153,wl_2203,wl_2244,wl_2284,wl_2345,wl_2395
corn,GHISACONUS_approx,1,0.040,0.043,0.046,0.050,0.058,0.062,0.068,0.082,0.088,0.092,0.090,0.060,0.048,0.044,0.038,0.040,0.055,0.100,0.260,0.480,0.580,0.600,0.610,0.615,0.615,0.590,0.320,0.280,0.300,0.310,0.280,0.240,0.220,0.230,0.240,0.120,0.080,0.200,0.240,0.250,0.260,0.250,0.230,0.210,0.100,0.130,0.130,0.125,0.120,0.115,0.110,0.108,0.095,0.085
soybean,GHISACONUS_approx,2,0.040,0.044,0.048,0.052,0.060,0.065,0.072,0.088,0.095,0.100,0.095,0.058,0.046,0.042,0.036,0.040,0.062,0.120,0.300,0.530,0.640,0.660,0.670,0.675,0.670,0.640,0.340,0.295,0.320,0.330,0.300,0.255,0.235,0.245,0.255,0.130,0.085,0.210,0.255,0.265,0.275,0.265,0.245,0.225,0.110,0.140,0.138,0.132,0.128,0.122,0.118,0.114,0.100,0.090
winter_wheat,GHISACONUS_approx,3,0.045,0.050,0.055,0.058,0.068,0.075,0.082,0.100,0.108,0.114,0.108,0.070,0.056,0.050,0.042,0.046,0.065,0.115,0.270,0.460,0.550,0.568,0.575,0.578,0.575,0.548,0.300,0.260,0.280,0.290,0.265,0.225,0.205,0.215,0.225,0.115,0.075,0.185,0.225,0.235,0.245,0.235,0.218,0.200,0.098,0.125,0.122,0.118,0.112,0.108,0.104,0.100,0.088,0.078
cotton,GHISACONUS_approx,4,0.038,0.042,0.046,0.050,0.058,0.062,0.068,0.082,0.088,0.092,0.088,0.056,0.044,0.040,0.034,0.038,0.052,0.095,0.240,0.440,0.530,0.548,0.556,0.560,0.558,0.532,0.295,0.255,0.275,0.285,0.260,0.220,0.200,0.210,0.220,0.112,0.072,0.178,0.218,0.228,0.238,0.228,0.210,0.192,0.094,0.120,0.118,0.114,0.108,0.104,0.100,0.096,0.084,0.074
rice,GHISACONUS_approx,5,0.036,0.040,0.044,0.048,0.055,0.059,0.065,0.078,0.084,0.088,0.084,0.052,0.040,0.036,0.030,0.034,0.048,0.090,0.225,0.420,0.510,0.528,0.536,0.540,0.538,0.512,0.285,0.248,0.268,0.278,0.252,0.215,0.196,0.206,0.216,0.108,0.070,0.172,0.210,0.220,0.230,0.222,0.204,0.187,0.090,0.116,0.114,0.110,0.105,0.100,0.096,0.092,0.080,0.070
alfalfa,DESIS_PRISMA_approx,6,0.042,0.046,0.052,0.056,0.065,0.070,0.078,0.096,0.104,0.108,0.104,0.065,0.050,0.046,0.038,0.042,0.060,0.115,0.280,0.510,0.620,0.640,0.650,0.654,0.652,0.622,0.345,0.300,0.325,0.335,0.305,0.260,0.238,0.248,0.260,0.132,0.088,0.218,0.260,0.272,0.282,0.272,0.252,0.232,0.114,0.145,0.142,0.136,0.130,0.124,0.120,0.115,0.102,0.090
almonds,DESIS_PRISMA_approx,7,0.035,0.038,0.042,0.046,0.053,0.057,0.063,0.076,0.082,0.086,0.082,0.052,0.040,0.036,0.030,0.034,0.050,0.095,0.230,0.440,0.540,0.558,0.566,0.570,0.568,0.542,0.298,0.258,0.278,0.288,0.262,0.223,0.203,0.213,0.223,0.113,0.073,0.180,0.220,0.230,0.240,0.230,0.212,0.195,0.095,0.122,0.120,0.115,0.110,0.105,0.100,0.096,0.084,0.074
grapes,DESIS_PRISMA_approx,8,0.030,0.033,0.036,0.040,0.046,0.050,0.055,0.066,0.072,0.075,0.072,0.044,0.034,0.030,0.025,0.028,0.042,0.080,0.200,0.380,0.460,0.476,0.482,0.485,0.484,0.460,0.258,0.225,0.243,0.252,0.230,0.195,0.178,0.186,0.195,0.098,0.063,0.156,0.190,0.200,0.208,0.200,0.185,0.170,0.082,0.105,0.103,0.099,0.094,0.090,0.086,0.082,0.072,0.063
pistachios,DESIS_PRISMA_approx,9,0.032,0.035,0.038,0.042,0.049,0.053,0.058,0.070,0.076,0.080,0.076,0.048,0.037,0.033,0.027,0.030,0.045,0.085,0.210,0.400,0.485,0.502,0.508,0.512,0.510,0.486,0.270,0.235,0.254,0.263,0.240,0.204,0.186,0.195,0.204,0.103,0.066,0.164,0.200,0.210,0.218,0.210,0.194,0.178,0.086,0.110,0.108,0.104,0.099,0.094,0.090,0.086,0.076,0.066
wheat_pakistan,CROPSPECPK_approx,10,0.044,0.048,0.053,0.057,0.066,0.072,0.080,0.098,0.105,0.110,0.105,0.068,0.054,0.048,0.040,0.044,0.062,0.112,0.265,0.450,0.540,0.558,0.566,0.570,0.568,0.540,0.298,0.258,0.278,0.288,0.262,0.222,0.202,0.212,0.222,0.112,0.074,0.182,0.222,0.232,0.242,0.232,0.214,0.197,0.097,0.124,0.122,0.116,0.111,0.106,0.102,0.098,0.086,0.076
